fullName,parkRoot
Abraham Lincoln Birthplace National Historical Park,Abraham Lincoln Park
Acadia National Park,Acadia
Adams National Historical Park,Adams Park
African American Civil War Memorial,African American War Memorial
African Burial Ground National Monument,African Burial Ground
Agate Fossil Beds National Monument,Agate Fossil Beds
Ala Kahakai National Historic Trail,Ala Kahakai Trail
Alagnak Wild River,Alagnak
Alaska Public Lands,Alaska
Alcatraz Island,Alcatraz Island
Aleutian Islands World War II National Historic Area,Aleutian Islands
Alibates Flint Quarries National Monument,Alibates
Allegheny Portage Railroad National Historic Site,Allegheny
Amache National Historic Site,Amache
American Memorial Park,American Memorial
Amistad National Recreation Area,Amistad
Anacostia Park,Anacostia
Andersonville National Historic Site,Andersonville
Andrew Johnson National Historic Site,Andrew Johnson
Aniakchak National Monument & Preserve,Aniakchak
Antietam National Battlefield,Antietam
Apostle Islands National Lakeshore,Apostle
Appalachian National Scenic Trail,Appalachian
Appomattox Court House National Historical Park,Appomattox
Arches National Park,Arches
Arkansas Post National Memorial,Arkansas Post
"Arlington House, The Robert E. Lee Memorial",Arlington House
Assateague Island National Seashore,Assateague
Aztec Ruins National Monument,Aztec
Badlands National Park,Badlands
Baltimore-Washington Parkway,Baltimore-Washington
Bandelier National Monument,Bandelier
Belmont-Paul Women's Equality National Monument,Belmont-Paul
Bent's Old Fort National Historic Site,Bent's Old Fort
Bering Land Bridge National Preserve,Bering Land
Big Bend National Park,Big Bend
Big Cypress National Preserve,Big Cypress
Big Hole National Battlefield,Big Hole
Big South Fork National River & Recreation Area,Big South Fork
Big Thicket National Preserve,Big Thicket
Bighorn Canyon National Recreation Area,Bighorn Canyon
Birmingham Civil Rights National Monument,Birmingham
Biscayne National Park,Biscayne
Black Canyon Of The Gunnison National Park,Black Canyon
Blackstone River Valley National Historical Park,Blackstone River
Blackwell School National Historic Site,Blackwell
Blue Ridge Parkway,Blue Ridge
Bluestone National Scenic River,Bluestone
Booker T Washington National Monument,Booker T Washington
Boston African American National Historic Site,Boston African American
Boston Harbor Islands National Recreation Area,Boston Harbor Islands
Boston National Historical Park,Boston
Brices Cross Roads National Battlefield Site,Brices Cross Roads
Brown v. Board of Education National Historical Park,Brown v. Board of Education
Bryce Canyon National Park,Bryce Canyon
Buck Island Reef National Monument,Buck Island
Buffalo National River,Buffalo
