ParkName,UnitCode,ParkType,Region,State,Year,Month,RecreationVisits,NonRecreationVisits,RecreationHours,NonRecreationHours,ConcessionerLodging,ConcessionerCamping,TentCampers,RVCampers,Backcountry,NonRecreationOvernightStays,MiscellaneousOvernightStays,ParkNameTotal,UnitCodeTotal,ParkTypeTotal,RegionTotal,StateTotal,YearTotal,RecreationVisitsTotal,NonRecreationVisitsTotal,RecreationHoursTotal,NonRecreationHoursTotal,ConcessionerLodgingTotal,ConcessionerCampingTotal,TentCampersTotal,RVCampersTotal,BackcountryTotal,NonRecreationOvernightStaysTotal,MiscellaneousOvernightStaysTotal
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,1,"7,470",0,"7,470",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,2,"8,750",0,"8,750",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,3,"15,588",0,"15,588",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,4,"24,682",0,"24,682",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,5,"27,366",0,"27,366",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,6,"30,116",0,"30,116",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,7,"36,840",0,"36,840",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,8,"25,286",0,"25,286",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,9,"26,379",0,"26,379",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,10,"18,366",0,"18,366",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,11,"10,018",0,"10,018",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,12,"9,089",0,"9,089",0,0,0,0,0,0,0,0,Abraham Lincoln Birthplace NHP,ABLI,National Historical Park,Southeast ,KY,2023,"239,950",0,"239,950",0,0,0,0,0,0,0,0
Acadia NP,ACAD,National Park,Northeast ,ME,2023,1,"15,217",600,"100,434",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,2,"15,281",600,"100,853",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,3,"30,822",600,"203,428",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
Acadia NP,ACAD,National Park,Northeast ,ME,2023,4,"102,928",600,"596,982",600,0,0,0,0,0,0,0,Acadia NP,ACAD,National Park,Northeast ,ME,2023,"3,879,890","47,100","25,804,425","47,100",0,"1,603","120,615","49,074","1,570",0,"9,600"
