Region,Month,RecreationVisits
Midwest ,January,652289
Pacific West ,January,3289726
Intermountain ,January,1543550
Alaska,January,7297
National Capital ,January,2326232
Southeast ,January,3869641
Northeast ,January,1947731
Intermountain ,February,1779714
Midwest ,February,808000
Pacific West ,February,3326524
Southeast ,February,4305044
National Capital ,February,2664075
Alaska,February,6904
Northeast ,February,2005639
Midwest ,March,1244696
Alaska,March,11871
Southeast ,March,5503244
Pacific West ,March,3862484
Northeast ,March,2869927
Intermountain ,March,3102198
National Capital ,March,5621369
Midwest ,April,1462887
Pacific West ,April,4478699
Alaska,April,38852
Southeast ,April,6039671
Intermountain ,April,4009751
Northeast ,April,3980785
National Capital ,April,6373152
Midwest ,May,2569181
National Capital ,May,6188326
Intermountain ,May,5654854
Pacific West ,May,5255040
Alaska,May,388820
Southeast ,May,6731886
Northeast ,May,5071565
Midwest ,June,4040237
Pacific West ,June,6007259
Intermountain ,June,7766566
Northeast ,June,6692040
Alaska,June,676803
Southeast ,June,7660278
National Capital ,June,5910308
Northeast ,July,7635125
Southeast ,July,8163640
Pacific West ,July,7047450
National Capital ,July,5561473
Alaska,July,789832
Intermountain ,July,8363181
Midwest ,July,4902933
Alaska,August,741293
Northeast ,August,7179280
Southeast ,August,7075229
National Capital ,August,4981326
Intermountain ,August,7159873
Midwest ,August,3823649
Pacific West ,August,6539480
Intermountain ,September,6829884
Alaska,September,448282
Pacific West ,September,5667241
Southeast ,September,6933121
National Capital ,September,4266863
Midwest ,September,2631784
Northeast ,September,5641273
Midwest ,October,1670428
Southeast ,October,7644941
Alaska,October,123383
Pacific West ,October,4843488
National Capital ,October,5143187
Intermountain ,October,4775800
Northeast ,October,5435200
Pacific West ,November,3780221
Intermountain ,November,2369396
National Capital ,November,3904268
Northeast ,November,3166449
Alaska,November,11333
Southeast ,November,5320518
Midwest ,November,889186
Intermountain ,December,1987478
National Capital ,December,3229328
Southeast ,December,4424066
Northeast ,December,2454372
Pacific West ,December,3500677
Alaska,December,10139
Midwest ,December,687461
