parkCode,fullName
abli,Abraham Lincoln Birthplace National Historical Park
acad,Acadia National Park
adam,Adams National Historical Park
afam,African American Civil War Memorial
afbg,African Burial Ground National Monument
agfo,Agate Fossil Beds National Monument
alka,Ala Kahakai National Historic Trail
alag,Alagnak Wild River
anch,Alaska Public Lands
alca,Alcatraz Island
aleu,Aleutian Islands World War II National Historic Area
alfl,Alibates Flint Quarries National Monument
alpo,Allegheny Portage Railroad National Historic Site
amch,Amache National Historic Site
amme,American Memorial Park
amis,Amistad National Recreation Area
anac,Anacostia Park
ande,Andersonville National Historic Site
anjo,Andrew Johnson National Historic Site
ania,Aniakchak National Monument & Preserve
anti,Antietam National Battlefield
apis,Apostle Islands National Lakeshore
appa,Appalachian National Scenic Trail
apco,Appomattox Court House National Historical Park
arch,Arches National Park
arpo,Arkansas Post National Memorial
arho,"Arlington House, The Robert E. Lee Memorial"
asis,Assateague Island National Seashore
azru,Aztec Ruins National Monument
badl,Badlands National Park
bawa,Baltimore-Washington Parkway
band,Bandelier National Monument
bepa,Belmont-Paul Women's Equality National Monument
beol,Bent's Old Fort National Historic Site
bela,Bering Land Bridge National Preserve
bibe,Big Bend National Park
bicy,Big Cypress National Preserve
biho,Big Hole National Battlefield
biso,Big South Fork National River & Recreation Area
bith,Big Thicket National Preserve
bica,Bighorn Canyon National Recreation Area
bicr,Birmingham Civil Rights National Monument
bisc,Biscayne National Park
blca,Black Canyon Of The Gunnison National Park
blrv,Blackstone River Valley National Historical Park
blsc,Blackwell School National Historic Site
blri,Blue Ridge Parkway
blue,Bluestone National Scenic River
bowa,Booker T Washington National Monument
boaf,Boston African American National Historic Site
boha,Boston Harbor Islands National Recreation Area
bost,Boston National Historical Park
brcr,Brices Cross Roads National Battlefield Site
brvb,Brown v. Board of Education National Historical Park
brca,Bryce Canyon National Park
buis,Buck Island Reef National Monument
buff,Buffalo National River
buov,Butterfield Overland National Historic Trail
cabr,Cabrillo National Monument
cali,California National Historic Trail
cane,Camp Nelson National Monument
cana,Canaveral National Seashore
cari,Cane River Creole National Historical Park
cach,Canyon de Chelly National Monument
cany,Canyonlands National Park
caco,Cape Cod National Seashore
caha,Cape Hatteras National Seashore
came,Cape Henry Memorial Part of Colonial National Historical Park
cakr,Cape Krusenstern National Monument
calo,Cape Lookout National Seashore
cahi,Capitol Hill Parks
care,Capitol Reef National Park
cajo,Captain John Smith Chesapeake National Historic Trail
cavo,Capulin Volcano National Monument
carl,Carl Sandburg Home National Historic Site
cave,Carlsbad Caverns National Park
cawo,Carter G. Woodson Home National Historic Site
cagr,Casa Grande Ruins National Monument
casa,Castillo de San Marcos National Monument
cacl,Castle Clinton National Monument
camo,Castle Mountains National Monument
cato,Catoctin Mountain Park
cebr,Cedar Breaks National Monument
cebe,Cedar Creek & Belle Grove National Historical Park
chcu,Chaco Culture National Historical Park
cham,Chamizal National Memorial
chis,Channel Islands National Park
chpi,Charles Pinckney National Historic Site
chyo,Charles Young Buffalo Soldiers National Monument
chat,Chattahoochee River National Recreation Area
choh,Chesapeake & Ohio Canal National Historical Park
cbpo,Chesapeake Bay
chch,Chickamauga & Chattanooga National Military Park
chic,Chickasaw National Recreation Area
chir,Chiricahua National Monument
chri,Christiansted National Historic Site
ciro,City Of Rocks National Reserve
cwdw,Civil War Defenses of Washington
clba,Clara Barton National Historic Site
colo,Colonial National Historical Park
colm,Colorado National Monument
colt,Coltsville National Historical Park
cong,Congaree National Park
coga,Constitution Gardens
coro,Coronado National Memorial
cowp,Cowpens National Battlefield
crla,Crater Lake National Park
crmo,Craters Of The Moon National Monument & Preserve
cuga,Cumberland Gap National Historical Park
cuis,Cumberland Island National Seashore
cure,Curecanti National Recreation Area
cuva,Cuyahoga Valley National Park
cech,César E. Chávez National Monument
daav,Dayton Aviation Heritage National Historical Park
deso,De Soto National Memorial
deva,Death Valley National Park
dewa,Delaware Water Gap National Recreation Area
dena,Denali National Park & Preserve
