id,url,title,parkCode,description,category,relatedRoadEvents,lastIndexedDate
C96C25F8-5E62-4212-87B2-15A93714AE31,,Pennsylvania Memorial Observation Deck Temporarily Closed,gett,"The bronze door at the top of the Pennsylvania Memorial staircase has been damaged due to extensive wear. For safety purposes, the observation deck at the top of Pennsylvania Memorial will be closed through at least noon on June 12.",Park Closure,[],2024-06-11 14:43:04.0
B49BEEBF-A7A9-468A-8D97-BD0DD4962E69,,Phones Down at the Tuskegee Airmen National Historic Site,tuai,"For any general inquiries, visitors can contact Ranger Myia Patterson at (334)421-0340 For reservations to visit the Tuskegee Airmen National Historic Site, please call Ranger Sheryl Buchanan at (334)421-3246",Caution,[],2024-06-11 13:08:10.0
F3A738F4-A397-45C3-9B60-428074BA4BB8,,Giftshop Closed,tuai,"The giftshop will be closed, Tuesday June 11, 2024.",Information,[],2024-06-11 13:02:10.0
B802C73F-7D21-4CBA-8D68-DF8AECDDCD1D,https://visitjacksonhole.com/teton-pass-closure-information,Teton Pass Closure - Grand Teton Open,grte,"Teton Pass (WY 22) which links Victor, ID and Wilson/Jackson, WY is currently closed due to road failure. The closure is expected to last a few weeks as WYDOT constructs a detour. Grand Teton National Park is open. For more information at link below.",Caution,[],2024-06-11 12:57:35.0
801EFAC4-6077-47AB-842A-E84A4C6AF202,,Opal Beach Complex Entrance Closure,guis,The entrance to Opal Beach Complex will be closed beginning at 6 p.m. on June 11. Visitors can still exit by 8 p.m.,Park Closure,[],2024-06-11 12:54:52.0
AA636E57-6E76-4A9A-9C85-DFB004840A1E,,Ajo Mountain Drive closed for maintenance,orpi,The Ajo Mountain Drive will be closed June 13th for culvert maintenance and repair in anticipation of the monsoon season. It will open again on June 14th. All other park roads remain open unless otherwise posted.,Park Closure,[],2024-06-11 12:50:00.0
5002A6D2-B582-4C16-B742-58E246933DB5,,"Visitor Center and Truman Home Tours Opening Late Thursday June 13, 2024",hstr,"The park visitor center and the Truman Home will be opening late on Thursday, June 13, 2024, as the park staff will be having an important communications meeting. The visitor center will open at 10:00am, and the first tour at 10:30am.",Park Closure,[],2024-06-11 12:44:29.0
60EEF7C3-E57D-486A-B74C-86B216D95A56,,"Park Will Be Closed For the Day on June 13th, 2024",rori,"Due to an All-Staff Safety Day, the park will be closed for the day of June 13th. We apologize for any inconvenience.",Park Closure,[],2024-06-11 09:46:07.0
D365B5D5-DB94-4D98-A042-C561FFEE1294,,"Park Will Be Closed For the Day on June 13th, 2024",jomu,"Due to an All-Staff Safety Day, the park will be closed for the day of June 13th. We apologize for any inconvenience.",Park Closure,[],2024-06-11 09:44:16.0
25FFEFF0-334E-46EB-9ACF-ADBC0D8C0AE9,,"Park Will Be Closed For the Day on June 13th, 2024",euon,"Due to an All-Staff Safety Day, the park will be closed for the day of June 13th. We apologize for any inconvenience.",Park Closure,[],2024-06-11 09:42:15.0
75487057-E4F6-4A96-9E5F-71A40F272B2F,https://www.nps.gov/grca/planyourvisit/key-messages.htm,"Tuesday, June 11, 2024 - Heat Warning Below 4000 ft - 105°F (40°C) — S. Rim 95°F (35°C)",grca,Hiking into the canyon is not advised. Limit outdoor activities between 10 am 4 pm to reduce heat risk. Bright Angel Trail water is on at Havasupai Gardens and on at 1.5 and 3-Mile Resthouses. Plateau Point Trail is closed for waterline construction.,Danger,[],2024-06-11 08:27:44.0
D343DB17-FB31-4953-AC43-957033416C4B,https://www.nps.gov/grca/planyourvisit/grand-canyon-national-park-public-health-update.htm,"What's Closed and What's Open? (Park Operational Updates) Tuesday, June 11, 2024",grca,The South Rim Visitor Center is OPEN from 8 am to 3 pm. Ranger programs are being presented today. Visit the link for a list of the available visitor services/hours of operation.,Park Closure,[],2024-06-11 08:25:41.0
498017B2-AAEA-4DBE-8F7D-969BBB36C4E5,,"Visitor Center closed 12:30-2:30pm and afternoon self-guided tours modified Thursday, June 13",adam,"The park visitor center will be closed 12:30-2:30 pm on Thursday, June 13, for staff training. During the closure, entrance passes may be purchased at recreation.gov. Afternoon self-guided tours will be modified. Call the visitor center for information.",Park Closure,[],2024-06-11 08:12:03.0
9A198220-E24A-4802-801C-1DF97EBCF510,,Eagle Nest Closure near the Brooks River,katm,A small area near the Brooks River is closed due to nesting bald eagles. The area will be reopened when the young birds have fledged and/or use of the nest site ceases for the season.,Information,[],2024-06-10 18:23:52.0
4FDDF966-BED1-4B3C-AACC-A7AAB94D41A9,,Drakes Beach and South Beach Restrooms are Closed,pore,The restrooms at both Drakes Beach and South Beach are closed until further notice for infrastructure repairs. The closest restrooms are at North Beach.,Park Closure,[],2024-06-10 17:05:03.0
F2E19FDC-D4B1-4B58-8343-076B80A1C8B8,,Park phone number has changed to 520-549-6751,fobo,Due to a phone system upgrade the visitor center phone number has changed. If you would like to contact a ranger please call 520-549-6751.,Information,[],2024-06-10 15:24:44.0
CF6A7D08-ECEC-4A1F-B1AC-DE887D23900D,https://www.nps.gov/blri/learn/news/blue-ridge-parkway-implements-two-day-closure-between-milepost-298-5-and-305-near-blowing-rock-nc.htm,MP 298.5 - 305 Emergency Road Repairs,blri,Closed to all activity June 12 and 13 for road surface patching between 8 am and 4pm. Visitors asked to observe detour routes and use alternative trail heads during closure hours.,Park Closure,"[{'title': 'MP 298.5 - 305 Emergency Road Repairs', 'id': 'CF6A7D08-ECEC-4A1F-B1AC-DE887D23900D', 'type': 'roadevent', 'url': 'https://www.nps.gov/blri/planyourvisit/conditions.htm'}]",2024-06-10 14:22:25.0
